Brand,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
Chevroletaveo,12,0,1150,0,0,6,200,975000
Chevroletcaptiva,6,1,2000,1,1,8,100,3000000
Chevroletaveo,12,0,1150,0,0,6,42000,975000
Chevroletcaptiva,11,1,2000,1,1,8,51000,3000000
Chevroletspark,9,0,1000,0,0,9,38000,1000000
Chevroletbeat,11,0,1200,0,0,8,15000,1425000
Chevroletcaptiva,10,0,2500,0,1,3,35000,2700000
Chevroletaveo,13,0,1200,0,0,8,36800,1250000
Chevroletaveo,9,0,1300,0,0,9,26000,1475000
Chevroletaveo,9,0,1200,0,0,9,70000,1300000
Chevroletbeat,11,0,1200,0,0,8,45000,1150000
Chevroletaveo,12,0,1200,0,0,7,45000,925000
Chevroletaveo,9,0,1400,0,0,10,17000,1650000
Chevroletspark,9,0,1000,0,0,15,40000,1100000
Chevroletspark,12,0,1000,0,0,10,27000,975000
Chevroletspark,12,0,1000,0,0,7,40000,975000
Chevroletspark,9,1,1000,0,0,1,34000,1200000
Chevroletspark,11,0,1000,0,0,8,36000,1075000
Chevroletbeat,11,0,1200,0,0,8,35000,1275000
Chevroletspark,11,1,1000,0,0,10,53000,110000
Chevroletaveo,12,0,1400,0,0,7,30000,1450000
Chevroletu-va,13,0,1150,0,0,6,41000,1050000
Chevroletcaptiva,11,1,2000,1,1,7,62000,3500000
Chevroletcaptiva,12,1,2000,1,1,7,46471,5000000
Chevroletuva,12,0,1150,0,0,7,50500,1200000
Chevroletaveo,11,0,1200,0,0,8,34500,1450000
Chevroletaveo,12,0,1400,0,0,7,30000,1400000
Chevroletaveo,11,0,1400,0,0,8,48000,1450000
Chevroletuva,12,0,1200,0,0,7,38000,1100000
Chevroletspark,12,0,1000,0,0,9,53000,1100000
Chevroletcaptiva,12,1,2000,1,1,7,51000,3750000
Chevroletcaptiva,12,1,2000,1,1,7,52000,4000000
Chevroletsedan,12,0,1600,0,0,7,46000,1450000
Chevroletaveo,11,0,800,0,0,8,30000,1200000
Chevroletaveo,10,0,1500,0,0,8,35000,1600000
Chevroletuva,14,0,1400,0,0,12,40000,1050000
Chevroletbeat,10,0,1200,0,0,9,25000,1650000
Chevroletaveo,12,0,1150,0,0,9,35000,1400000
Chevroletaveo,11,0,1400,0,0,8,52000,1700000
Chevroletaveo,12,0,1200,0,0,7,60000,1350000
Chevroletaveo,12,0,1400,0,0,7,40000,1550000
Chevroletspark,12,0,1000,0,0,7,34000,1050000
Chevroletsedan,11,0,1400,0,0,10,50000,1695000
Chevroletaveo,8,0,1600,1,0,12,3800,2000000
Chevroletspark,11,0,800,0,0,10,30000,1200000
Chevroletaveo,13,0,1150,0,0,8,61500,1300000
Chevroletspark,12,0,1000,0,0,9,25000,1200000
Chevroletcaptiva,12,1,2000,1,1,7,48000,4200000
Chevroletspark,10,0,1000,0,0,9,30000,1150000
Chevroletaveo,15,0,1600,0,0,6,40000,1350000
Chevroletaveo,14,0,1200,0,0,5,45000,1575000
Chevroletaveo,15,0,1600,0,0,5,43000,1425000
Chevroletaveo,9,0,1400,0,0,9,13000,2300000
Chevroletcaptiva,11,1,2000,1,1,9,29000,5200000
Chevroletbeat,10,0,1200,0,0,8,26000,1600000
Chevroletbeat,11,0,1200,0,0,10,32000,1600000
Chevroletspark,12,0,1000,0,0,7,26000,1200000
Chevroletspark,12,0,1000,0,0,7,34000,1125000
Chevroletaveo,11,0,1400,0,0,10,28000,1725000
Chevroletaveo,9,0,1600,0,0,12,19000,2200000
Chevroletaveo,12,0,1150,0,0,9,35000,1500000
Chevroletcaptiva,11,0,2000,0,1,10,30000,4000000
Chevroletaveo,13,0,1150,0,0,6,50000,1325000
Chevroletcaptiva,11,0,2000,0,1,7,35378,6200000
Chevroletcaptiva,10,0,2500,0,1,11,50000,3000000
Chevroletaveo,10,1,1400,0,0,8,9500,1800000
Chevroletbeat,11,0,1200,0,0,8,42083,1800000
Chevroletaveo,14,0,1150,0,0,5,42000,1200000
Fiatavventura,6,0,1400,0,0,13,22000,2300000
Fiatavventura,6,0,1400,0,0,13,10000,2700000
Fiatpunto,9,0,1200,0,0,10,18300,1499999
Fiatlinea,9,1,1400,0,0,9,26000,2350000
Fiatfigo,6,0,1400,0,0,14,20000,1800000
Fiatpalio,18,0,1200,0,0,5,60000,550000
Fiatpunto,10,0,1200,0,0,9,28500,1375000
Fiatpunto,18,0,1200,0,0,4,79000,675000
Fiatfigo,22,0,1400,0,1,3,83518,450000
Fordfigo,8,0,1200,0,0,21,47000,1425000
Fordfigo,11,0,1200,0,0,10,30000,1200000
Fordfigo,10,0,1200,0,0,22,41000,1250000
Fordfigo,9,0,1200,0,0,10,60000,1250000
Fordecosport,3,0,1500,0,0,21,16000,3300000
Fordecosport,7,1,1500,0,0,12,37000,2600000
Fordfigo,4,0,1500,1,1,11,90000,1050000
Fordfigo,5,0,1200,0,0,4,72000,17000
Fordfigo,8,0,1200,0,0,10,47000,1450000
Fordfigo,5,0,1200,0,0,16,31000,1850000
Fordtitanium,2,0,1200,0,0,21,7000,3100000
Fordecosport,8,0,1000,0,0,11,40000,2400000
Fordtitanium,8,0,1400,0,1,10,90000,1950000
Fordfigo,7,0,1200,0,0,12,33000,1400000
Fordtitanium,6,0,1500,0,1,13,40000,2900000
Fordfiesta,6,0,1600,0,0,13,35000,1450000
Fordecosport,8,0,1500,0,1,10,43000,2500000
Fordfigo,7,0,1200,0,0,11,16401,1700000
Fordfigo,7,0,1200,0,0,12,12800,1700000
Fordecosport,7,1,1500,0,0,14,52000,3100000
